!!SBtab SbtabVersion='1.0' TableType='Gene' TableName='C elegans genes'
!ID	!Identifiers:WormBase	!Symbol	!Locus	!Name	!GO_process	!GO_function	!GO_component	!Identifiers:ec-code	!Comment	!Curator
WBGene00015270	WBGene00015270		C01B4.6	C01B4.6	GO:0005975;GO:0019318	GO:0003824;GO:0016853;GO:0030246				
WBGene00044734	WBGene00044734		Y19D10A.16	Y19D10A.16	GO:0005975;GO:0006006;GO:0019318;GO:0033499	GO:0003824;GO:0004034;GO:0016853;GO:0030246		5.1.3.3		
WBGene00013597	WBGene00013597	gpi-1	Y87G2A.8	Y87G2A.8	GO:0006094;GO:0006096	GO:0004347;GO:0016853		5.3.1.9		
WBGene00007108	WBGene00007108	gspd-1	B0035.5	B0035.5	GO:0005975;GO:0006006;GO:0006098;GO:0006739;GO:0051156;GO:0055114	GO:0004345;GO:0016491;GO:0050661		1.1.1.49		
WBGene00016810	WBGene00016810		C50D2.7	C50D2.7	GO:0005975;GO:0006096;GO:0016310	GO:0016301;GO:0016740;GO:0016773;GO:0043843;GO:0046872	GO:0005576	2.6.1.1		
WBGene00008780	WBGene00008780	hxk-1	F14B4.2	F14B4.2	GO:0001678;GO:0005975;GO:0006096;GO:0016310;GO:0046835;GO:0051156	GO:0000166;GO:0004340;GO:0004396;GO:0005515;GO:0005524;GO:0005536;GO:0008865;GO:0016301;GO:0016740;GO:0016773;GO:0019158	GO:0005623;GO:0005829			
WBGene00010416	WBGene00010416	hxk-2	H25P06.1	H25P06.1	GO:0001678;GO:0005975;GO:0006096;GO:0016310;GO:0046835;GO:0051156	GO:0000166;GO:0004340;GO:0004396;GO:0005524;GO:0005536;GO:0008865;GO:0016301;GO:0016740;GO:0016773;GO:0019158	GO:0005829			
WBGene00022306	WBGene00022306	hxk-3	Y77E11A.1	Y77E11A.1	GO:0001678;GO:0005975;GO:0006096;GO:0016310;GO:0046835;GO:0051156	GO:0000166;GO:0004340;GO:0004396;GO:0005524;GO:0005536;GO:0008865;GO:0016301;GO:0016740;GO:0016773;GO:0019158	GO:0005623;GO:0005829			
WBGene00013301	WBGene00013301		Y57G11C.3	Y57G11C.3	GO:0005975;GO:0006098;GO:0009051	GO:0016787;GO:0017057	GO:0005783;GO:0030017;GO:0055120	3.1.1.31		
WBGene00012015	WBGene00012015		T25B9.9	T25B9.9	GO:0006098;GO:0010629;GO:0019521;GO:0050829;GO:0055114	GO:0004616;GO:0016491		1.1.1.44		
WBGene00015101	WBGene00015101	rpia-1	B0280.3	B0280.3	GO:0006014;GO:0006098;GO:0009052	GO:0004751;GO:0016853	GO:0005829;GO:0043231	5.3.1.6		
WBGene00017272	WBGene00017272		F08F8.7	F08F8.7	GO:0005975;GO:0006098;GO:0008152;GO:0009052;GO:0019323;GO:0044262	GO:0003824;GO:0004750;GO:0016853;GO:0016857;GO:0046872	GO:0005829	5.1.3.1		
WBGene00012713	WBGene00012713	bckd-1A	Y39E4A.3	Y39E4A.3	GO:0006629;GO:0006631;GO:0006633;GO:0008152;GO:0055114	GO:0003863;GO:0016491;GO:0016624;GO:0046872	GO:0005739;GO:0005759	1.2.4.4		
WBGene00008506	WBGene00008506	tkt-1	F01G10.1	F01G10.1	GO:0008152	GO:0003824				
WBGene00021286	WBGene00021286	tald-1	Y24D9A.8	Y24D9A.8	GO:0005975;GO:0006098	GO:0003824;GO:0004801;GO:0016740	GO:0005737	2.2.1.2		
WBGene00001684	WBGene00001684	gpd-2	K10B3.8	K10B3.8	GO:0006006;GO:0006096;GO:0055114	GO:0004365;GO:0016491;GO:0016620;GO:0050661;GO:0051287	GO:0005737	1.2.1.12		
WBGene00001685	WBGene00001685	gpd-3	K10B3.7	K10B3.7	GO:0006006;GO:0006096;GO:0055114	GO:0004365;GO:0016491;GO:0016620;GO:0050661;GO:0051287	GO:0005737	1.2.1.12		
WBGene00001683	WBGene00001683	gpd-1	T09F3.3	T09F3.3	GO:0006006;GO:0006096;GO:0055114	GO:0004365;GO:0016491;GO:0016620;GO:0050661;GO:0051287	GO:0005737	1.2.1.12		
WBGene00001686	WBGene00001686	gpd-4	F33H1.2	F33H1.2	GO:0006006;GO:0006096;GO:0055114	GO:0004365;GO:0016491;GO:0016620;GO:0050661;GO:0051287	GO:0005737	1.2.1.12		
WBGene00020185	WBGene00020185	pgk-1	T03F1.3	T03F1.3	GO:0006096;GO:0016310	GO:0000166;GO:0004618;GO:0005524;GO:0016301;GO:0016740	GO:0005737	2.7.2.3		
WBGene00019001	WBGene00019001	ipgm-1	F57B10.3	F57B10.3	GO:0006007;GO:0006096;GO:0008152;GO:0044262	GO:0003824;GO:0004619;GO:0016853;GO:0030145;GO:0046872	GO:0005737			
WBGene00011884	WBGene00011884	enol-1	T21B10.2	T21B10.2	GO:0006096	GO:0000287;GO:0004634;GO:0016829;GO:0046872	GO:0000015;GO:0005737	4.2.1.11		
WBGene00009126	WBGene00009126	pyk-1	F25H5.3	F25H5.3	GO:0006096;GO:0016310	GO:0000287;GO:0003824;GO:0004743;GO:0016301;GO:0016740;GO:0030955	GO:0005737	2.7.1.40		
WBGene00014001	WBGene00014001	pyk-2	ZK593.1	ZK593.1	GO:0006096;GO:0016310	GO:0000287;GO:0003824;GO:0004743;GO:0016301;GO:0016740;GO:0030955	GO:0005783;GO:0030017;GO:0055120	2.7.1.40		
WBGene00010794	WBGene00010794	dld-1	LLC1.3	LLC1.3	GO:0006629;GO:0006631;GO:0006633;GO:0045454;GO:0055114	GO:0004148;GO:0016491;GO:0050660	GO:0005739;GO:0005759	1.8.1.4		
WBGene00007824	WBGene00007824	dlat-2	C30H6.7		GO:0008152	GO:0016740;GO:0016746				
WBGene00009082	WBGene00009082	dlat-1	F23B12.5	F23B12.5	GO:0006090;GO:0006096;GO:0008152	GO:0004742;GO:0005515;GO:0016740;GO:0016746	GO:0005739;GO:0005759;GO:0045254	2.3.1.12		
WBGene00015413	WBGene00015413	pdhb-1	C04C3.3	C04C3.3	GO:0006096;GO:0008152;GO:0055114	GO:0003824;GO:0004739;GO:0016491	GO:0005739;GO:0005759	1.2.4.1		
WBGene00011510	WBGene00011510	pdha-1	T05H10.6	T05H10.6	GO:0006086;GO:0006096;GO:0008152;GO:0055114	GO:0004739;GO:0016491;GO:0016624	GO:0005739;GO:0005759;GO:0043231	3.2.1.1		
WBGene00000833	WBGene00000833	cts-1	T20G5.2	T20G5.2	GO:0005975;GO:0006099;GO:0006101	GO:0004108;GO:0016740;GO:0046912	GO:0005739;GO:0005759			
WBGene00000041	WBGene00000041	aco-2	F54H12.1	F54H12.1	GO:0006099;GO:0008152	GO:0003994;GO:0016829;GO:0046872;GO:0051536;GO:0051539	GO:0005739	4.2.1.3		
WBGene00016266	WBGene00016266	idhg-2	C30F12.7	C30F12.7	GO:0006099;GO:0055114	GO:0000287;GO:0004449;GO:0016616;GO:0051287	GO:0005739			
WBGene00009664	WBGene00009664	idha-1	F43G9.1	F43G9.1	GO:0006099;GO:0055114	GO:0004449;GO:0016491;GO:0016616;GO:0046872	GO:0005739	1.1.1.41		
WBGene00009440	WBGene00009440	idhg-1	F35G12.2	F35G12.2	GO:0006099;GO:0055114	GO:0000287;GO:0004449;GO:0016616;GO:0051287	GO:0005739			
WBGene00007993	WBGene00007993	idhb-1	C37E2.1	C37E2.1	GO:0006099;GO:0055114	GO:0004449;GO:0016491;GO:0016616;GO:0046872	GO:0005739	1.1.1.41		
WBGene00014098	WBGene00014098	ogdh-2	ZK836.2	ZK836.2	GO:0006096;GO:0006099;GO:0008152;GO:0055114	GO:0004591;GO:0016491;GO:0016624;GO:0030976	GO:0005739;GO:0005829;GO:0045252	1.2.4.2		
WBGene00020950	WBGene00020950	dlst-1	W02F12.5	W02F12.5	GO:0006099;GO:0008152	GO:0004149;GO:0016740;GO:0016746	GO:0045252			
WBGene00020679	WBGene00020679	ogdh-1	T22B11.5	T22B11.5	GO:0006091;GO:0006096;GO:0006099;GO:0008152;GO:0055114	GO:0004591;GO:0016491;GO:0016624;GO:0030976	GO:0005739;GO:0005759;GO:0005829;GO:0031966;GO:0045252	1.2.4.2		
WBGene00007350	WBGene00007350	sucl-1	C05G5.4	C05G5.4	GO:0006099;GO:0008152	GO:0000166;GO:0003824;GO:0004775;GO:0004776;GO:0016874;GO:0048037	GO:0005739;GO:0005759	6.2.1.5;6.2.1.4		
WBGene00017759	WBGene00017759	sucl-2	F23H11.3	F23H11.3	GO:0006099;GO:0008152	GO:0000166;GO:0003824;GO:0004775;GO:0004776;GO:0016874;GO:0048037	GO:0005739;GO:0005759	6.2.1.5;6.2.1.4		
WBGene00009812	WBGene00009812	suca-1	F47B10.1	F47B10.1	GO:0006099;GO:0008152	GO:0000166;GO:0003824;GO:0004775;GO:0005524;GO:0016874;GO:0046872	GO:0005739	6.2.1.5		
WBGene00015391	WBGene00015391	sdha-1	C03G5.1	C03G5.1	GO:0006099;GO:0006121;GO:0009061;GO:0022900;GO:0055114	GO:0008177;GO:0009055;GO:0016491;GO:0016627;GO:0050660	GO:0005739;GO:0005743;GO:0005749;GO:0016020;GO:0045282	1.3.5.1		
