!!SBtab SBtabVersion=1.0 TableType=Reaction TableName=Reaction
!Reaction	!Name	!ReactionFormula	!IsReversible	!GeneAssociation	!Pathway	!Identifiers:kegg.reaction	!Identifiers:pubmed	!Identifiers:doi	!Identifiers:eco	!Comment	!Curator	!Notes:EC NUMBER	!Notes:AUTHORS
R_ALDOSE_1_EPIMERASE_RXN_c	Aldose 1-epimerase	M_glc_aD_c <=> M_glc_bD_c	TRUE	WBGene00015270 or WBGene00044734	sucrose degradation	R01602				Added KEGG ID; added EC Number	jpnh	5.1.3.3	
R_RC02739	alpha-D-Glucose 6-phosphate ketol-isomerase (producing beta-D-Glucose 6-phosphate)	M_g6p_A_c <=> M_g6p_B_c	TRUE	WBGene00013597	glycolysis and gluconeogenesis	R02739				Added KEGG ID; added EC Number	jpnh	5.1.3.15	
R_G6PDH2r_c	Glucose-6-phosphate 1-dehydrogenase	M_g6p_B_c +  M_nadp_c <=> M_6pgl_c + M_h_c + M_nadph_c	TRUE	(WBGene00007108)	pentose phosphate pathway	R00835				Added KEGG ID; added EC Number	jpnh	1.1.1.49	
R_RC09085	ADP:alpha-D-glucose 6-phosphotransferase	M_glc_aD_c +  M_adp_c <=> M_g6p_A_c + M_h_c + M_amp_c	FALSE	WBGene00016810	glycolysis and gluconeogenesis	R09085				Added KEGG ID; added EC Number	jpnh	2.7.1.147	
R_HEX1_c	beta-D-Glucokinase	M_glc_bD_c +  M_atp_c <=> M_g6p_B_c + 2.0 M_h_c + M_adp_c	FALSE	WBGene00008780 or WBGene00010416 or WBGene00022306	amino sugar and nucleotide sugar metabolism; glycolysis and gluconeogenesis; trehalose degradation	R01600				fixed the name; added KEGG ID; added EC Number	lenov; jpnh	2.7.1.1	
R_PGL_c	6-phosphogluconolactonase	M_h2o_c +  M_6pgl_c <=> M_6pgc_c + M_h_c	TRUE	(WBGene00013301)	pentose phosphate pathway	R02035				Added KEGG ID; added EC Number	jpnh	3.1.1.31	
R_GND_c	6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)	M_6pgc_c +  M_nadp_c <=> M_co2_c + M_ru5p_D_c + M_nadph_c	TRUE	(WBGene00012015) or (WBGene00012015) or (WBGene00012015)	pentose phosphate pathway	R01528				Updated Name; Added KEGG ID; added EC Number	jpnh	1.1.1.44	
R_RPI_c	Ribose 5-phosphate epimerase	M_r5p_c <=> M_ru5p_D_c	TRUE	(WBGene00015101)	pentose phosphate pathway	R01056				Added KEGG ID; added EC Number	jpnh	5.3.1.6	
R_RPE_c	ribulose phosphate 3-epimerase	M_ru5p_D_c <=> M_xu5p_D_c	TRUE	(WBGene00017272)	pentose phosphate pathway	R01529				Added KEGG ID; added EC Number	jpnh	5.1.3.1	
R_TKT1_c	Transketolase	M_s7p_c +  M_g3p_c <=> M_xu5p_D_c + M_r5p_c	TRUE	(WBGene00012713) or (WBGene00008506)	pentose phosphate pathway	R01641				Added KEGG ID; added EC Number	jpnh	2.2.1.1	
